employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
LifeLens Technologies Inc.,1.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2014,Unknown / Non-Applicable,Senior Data Visualization/Data Analyst Specialist,"Ivyland, PA",75K,111K,"$91,587",/yr (Glassdoor est.)
Astec Industries,3.7,Manufacturing,Machinery Manufacturing,1972,$1 to $5 billion (USD),Senior Data Analyst (Supply Chain),"Chattanooga, TN",71K,104K,"$85,861",/yr (Glassdoor est.)
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"Senior, Data Analyst","Bentonville, AR",64K,95K,"$77,712",/yr (Glassdoor est.)
University of California Berkeley,4.4,,,,Unknown / Non-Applicable,"Senior College Advisor (4576U) - The College of Computing, Data Science, and Society (CDSS)","Berkeley, CA",70K,95K,"$82,750",/yr (Employer est.)
TEXAS WATER DEVELOPMENT BOARD,3.5,Government & Public Administration,State & Regional Agencies,1835,Unknown / Non-Applicable,TWDB - 24-50 - Hydrometeorology Data Scientist (Data Scientist I),"Austin, TX",7K,9K,"$7,966",/mo (Employer est.)
The JAAW Group,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Salt Lake City, UT",70K,100K,"$85,000",/yr (Employer est.)
Sunixa Solutions,4.9,Information Technology,Information Technology Support Services,2015,$1 to $5 million (USD),AI/ML Engineer,"Dallas, TX",43.09,51.89,$47.49,/hr (Employer est.)
TK-CHAIN LLC,5.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2018,$5 to $25 million (USD),Principal Statistical Programmer,"Princeton, NJ",60K,130K,"$95,000",/yr (Employer est.)
PT Solutions Physical Therapy,3.7,Healthcare,Health Care Services & Hospitals,2003,Unknown / Non-Applicable,Senior Data Analyst- remote!,"Atlanta, GA",70K,102K,"$84,747",/yr (Glassdoor est.)
University of Arizona,4.1,Education,Colleges & Universities,1885,$1 to $5 billion (USD),Senior Data Analyst - Research Programs and Grants (UPDATED),"Tucson, AZ",76K,98K,"$86,871",/yr (Employer est.)
Nationwide Children's Hospital,3.8,Healthcare,Health Care Services & Hospitals,1892,$1 to $5 billion (USD),Data Scientist II - Epilepsy Research,"Columbus, OH",76K,111K,"$91,575",/yr (Glassdoor est.)
Zivahh,4.0,,,,Unknown / Non-Applicable,Data Scientist,"Peoria, IL",40.00,43.00,$41.50,/hr (Employer est.)
Little Caesars/Blue Line Distribution,3.4,Restaurants & Food Service,Restaurants & Cafes,1959,Unknown / Non-Applicable,Data Scientist,"Detroit, MI",78K,113K,"$94,082",/yr (Glassdoor est.)
Ally Financial,3.8,Financial Services,Banking & Lending,1919,$5 to $10 billion (USD),Senior AI Product Analyst,"Charlotte, NC",72K,97K,"$84,011",/yr (Glassdoor est.)
Plymouth Rock Assurance,3.4,Insurance,Insurance Carriers,1982,$5 to $25 million (USD),Senior Marketing Data Analyst,"Woodbridge, NJ",80K,114K,"$95,089",/yr (Glassdoor est.)
CareQuest Institute for Oral Health Inc,2.6,Nonprofit & NGO,Grantmaking & Charitable Foundations,2021,Unknown / Non-Applicable,Senior Health Care Data Analyst - Delta Dental of MA,"Charlestown, MA",73K,116K,"$92,010",/yr (Glassdoor est.)
Eastern Bank,3.9,Financial Services,Banking & Lending,1989,$500 million to $1 billion (USD),Sr. HR Data Analyst,"Lynn, MA",61K,90K,"$74,323",/yr (Glassdoor est.)
Princeton University,4.6,Education,Colleges & Universities,1746,Unknown / Non-Applicable,Postdoctoral Research Associate - AI/Machine Learning for Illicit Drug Identification,"Princeton, NJ",70K,90K,"$79,470",/yr (Glassdoor est.)
Nexstar Broadcasting,2.8,Media & Communication,Broadcast Media,1996,$500 million to $1 billion (USD),Sr. Data Analyst,"New York, NY",80K,100K,"$90,000",/yr (Employer est.)
LendingTree,3.4,Financial Services,Banking & Lending,1996,$100 to $500 million (USD),"Senior Analyst, Marketing Analytics","Charlotte, NC",80K,111K,"$94,546",/yr (Glassdoor est.)
MIDCONTINENT INDEPENDENT SYSTEM OPERATOR INC,3.6,"Energy, Mining & Utilities",Energy & Utilities,1998,Unknown / Non-Applicable,Senior Data Analyst,"Carmel, IN",72K,97K,"$83,782",/yr (Glassdoor est.)
Hanwha Q Cells,3.0,"Energy, Mining & Utilities",Energy & Utilities,1999,$1 to $5 billion (USD),Sr. Data Analyst,"Cartersville, GA",68K,104K,"$84,339",/yr (Glassdoor est.)
Worldforce,3.2,,,,,Product Manager for AI,Remote,40K,130K,"$85,000",/yr (Employer est.)
Vedainfo,4.1,Information Technology,Information Technology Support Services,,$1 to $5 million (USD),AI Consultant,"Plano, TX",45.00,45.00,$45.00,/hr (Employer est.)
Bridgestone Americas,3.9,Manufacturing,Transportation Equipment Manufacturing,1931,$10+ billion (USD),Materials Scientist - Data Science,"Akron, OH",80K,112K,"$94,837",/yr (Glassdoor est.)
Iron EagleX,4.9,Information Technology,Enterprise Software & Network Solutions,,Unknown / Non-Applicable,Data Scientist,"Tampa, FL",72K,118K,"$92,438",/yr (Glassdoor est.)
Qontigo,4.0,Management & Consulting,Research & Development,2019,Unknown / Non-Applicable,Product Specialist,"Chicago, IL",65K,115K,"$86,481",/yr (Glassdoor est.)
Enstar Group,3.7,Financial Services,Investment & Asset Management,,$1 to $5 billion (USD),Senior Data Analyst,"Saint Petersburg, FL",75K,95K,"$85,000",/yr (Employer est.)
Jefferson Lab,4.1,Government & Public Administration,National Agencies,1984,$100 to $500 million (USD),Data Scientist Postdoc,"Newport News, VA",63K,94K,"$78,400",/yr (Employer est.)
WebstaurantStore,4.0,Retail & Wholesale,Other Retail Stores,2004,$500 million to $1 billion (USD),"Senior Data Analyst, Forecasting & Modeling","Lititz, PA",68K,108K,"$85,574",/yr (Glassdoor est.)
RELX,4.1,Information Technology,Information Technology Support Services,1880,$10+ billion (USD),Senior Data Discovery and Enrichment Expert I (Hybrid or Remote),"Raleigh, NC",55K,91K,"$70,956",/yr (Glassdoor est.)
FIS Global,3.7,Financial Services,Financial Transaction Processing,1968,$5 to $10 billion (USD),Sr. Business Data Analyst,"Cincinnati, OH",79K,110K,"$93,009",/yr (Glassdoor est.)
Banyan Medical Systems,3.2,Healthcare,Health Care Services & Hospitals,2006,Unknown / Non-Applicable,Sr. Data Analyst,"Omaha, NE",80K,100K,"$90,000",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Lead Security Engineer - Generative AI/ML Developer,"Tampa, FL",69K,107K,"$85,696",/yr (Glassdoor est.)
"Applied Research Associates, Inc",4.0,Aerospace & Defense,Aerospace & Defense,1979,$100 to $500 million (USD),Staff Mathematician 2,"Bentonville, AR",57K,87K,"$70,521",/yr (Glassdoor est.)
Mount Sinai,3.5,Healthcare,Health Care Services & Hospitals,2013,$1 to $5 billion (USD),Data Analyst I- Division of Infectious Disease,"New York, NY",59K,74K,"$66,456",/yr (Employer est.)
US Defense Intelligence Agency,3.1,Government & Public Administration,National Agencies,,Unknown / Non-Applicable,"INSPECTOR GENERAL CAREER FIELD (AUDITOR) - 2024 DoD Artificial Intelligence, Cybersecurity & Informa","Washington, DC",56K,89K,"$72,425",/yr (Employer est.)
Everi,3.8,Manufacturing,Consumer Product Manufacturing,2015,$500 million to $1 billion (USD),Experienced Mathematician IV - Hybrid (Chicago),"Chicago, IL",75K,111K,"$91,493",/yr (Glassdoor est.)
"Applied Systems, Inc.",4.0,Information Technology,Software Development,1983,$100 to $500 million (USD),Associate Data Scientist / Data Scientist,"Chicago, IL",83K,107K,"$94,087",/yr (Glassdoor est.)
Massachusetts General Hospital(MGH),3.9,Healthcare,Health Care Services & Hospitals,1811,$1 to $5 billion (USD),Statistical Programmer II,"Boston, MA",81K,104K,"$91,479",/yr (Glassdoor est.)
BRS,4.0,,,,Unknown / Non-Applicable,Statistician *,"Atlanta, GA",75K,101K,"$86,940",/yr (Glassdoor est.)
Adtalem Global Education,3.2,Education,Colleges & Universities,1931,Unknown / Non-Applicable,"Senior Data Analyst (Hybrid/Columbia,MD)","Columbia, MD",60K,108K,"$84,129",/yr (Employer est.)
Texas Children's Hospital,4.0,Healthcare,Health Care Services & Hospitals,1954,$1 to $5 billion (USD),Lead Systems Analyst/Data Science Team Lead,"Houston, TX",74K,112K,"$91,152",/yr (Glassdoor est.)
Chubb,3.7,Insurance,Insurance Carriers,1792,$10+ billion (USD),Data Scientist,"Jersey City, NJ",66K,108K,"$86,750",/yr (Employer est.)
Tonic3,3.8,Information Technology,Information Technology Support Services,1996,Unknown / Non-Applicable,Senior Marketing Data Analyst,"Irving, TX",68K,96K,"$80,601",/yr (Glassdoor est.)
Deloitte,4.0,Management & Consulting,Business Consulting,1850,$10+ billion (USD),Data Scientist -- Senior Solution Specialist,"Lake Mary, FL",77K,106K,"$90,004",/yr (Glassdoor est.)
Home Depot / THD,3.8,Retail & Wholesale,Home Furniture & Housewares Stores,1978,$10+ billion (USD),Associate Data Scientist,"Atlanta, GA",77K,106K,"$90,484",/yr (Glassdoor est.)
"Axiom Consultants, Inc.",3.7,,,,Unknown / Non-Applicable,Hurricane Data Assimilation Scientist,"College Park, MD",66K,94K,"$78,862",/yr (Glassdoor est.)
Truist Bank,3.3,Financial Services,Banking & Lending,2019,$5 to $10 billion (USD),Associate Business Data Steward,"Richmond, VA",67K,90K,"$77,866",/yr (Glassdoor est.)
Breakforth Solutions Inc,3.8,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Senior Data Analyst,"Washington, DC",82K,110K,"$94,569",/yr (Glassdoor est.)
Optimal Inc.,3.6,Education,Education & Training Services,2004,Unknown / Non-Applicable,Machine Learning Engineer,"Warren, MI",73K,108K,"$89,109",/yr (Glassdoor est.)
University of Sheffield,4.3,Education,Colleges & Universities,1905,$100 to $500 million (USD),Research Associate in Machine Learning for Pollinator Behaviour Analysis,"Sheffield, OH",60K,85K,"$71,741",/yr (Glassdoor est.)
CNA,4.1,Aerospace & Defense,Aerospace & Defense,1942,$100 to $500 million (USD),Associate Research Analyst (Associate Data Scientist),"Arlington, VA",77K,102K,"$88,702",/yr (Glassdoor est.)
UT Southwestern,3.9,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD),"Data Scientist III, Pathology","Dallas, TX",82K,101K,"$90,720",/yr (Glassdoor est.)
Precision Technologies Corp,4.2,Information Technology,Information Technology Support Services,2008,$5 to $25 million (USD),Machine Learning Engineer,"Bell, CA",40.00,45.00,$42.50,/hr (Employer est.)
Fox Corporation,3.8,Media & Communication,Broadcast Media,2019,Unknown / Non-Applicable,"Senior Digital Data Analyst, Business Intelligence",Remote,79K,96K,"$87,450",/yr (Employer est.)
Ann & Robert H. Lurie Children’s Hospital of Chicago,3.8,Healthcare,Health Care Services & Hospitals,1882,Unknown / Non-Applicable,AI/ML Engineer,"Chicago, IL",68K,98K,"$81,758",/yr (Glassdoor est.)
Cognizant Technology Solutions,3.8,Information Technology,Information Technology Support Services,1994,$10+ billion (USD),Python Generative AI Engineer (onsite),"Charlotte, NC",62K,100K,"$78,750",/yr (Glassdoor est.)
Relentless Talent,3.9,,,,,"Senior Data Analyst: big data analytics platform, SaaS & 100% remote","Pittsburgh, PA",90K,100K,"$95,000",/yr (Employer est.)
H. Lee Moffitt Cancer Center,3.9,Healthcare,Health Care Services & Hospitals,1986,Unknown / Non-Applicable,SR CLINICAL DATA ANALYST,"Tampa, FL",68K,99K,"$82,354",/yr (Glassdoor est.)
Amneal Pharmaceuticals,3.4,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2002,$1 to $5 billion (USD),DEA Compliance Data Analyst,"Brookhaven, NY",75K,90K,"$82,500",/yr (Employer est.)
Lore Tech Solutions,3.5,,,,Unknown / Non-Applicable,"Sr Data Analyst - W2 - No C2C, No OPT","Philadelphia, PA",40.00,45.00,$42.50,/hr (Employer est.)
Oak Ridge National Laboratory,3.8,Government & Public Administration,National Agencies,1943,Unknown / Non-Applicable,"Research Scientist, Scientific Data Management","Oak Ridge, TN",63K,93K,"$76,789",/yr (Glassdoor est.)
"GLOTECH, Inc.",3.0,Financial Services,Accounting & Tax,1995,$5 to $25 million (USD),Statistical Programmer,"Bethesda, MD",76K,106K,"$89,675",/yr (Glassdoor est.)
Pacific Northwest National Laboratory,4.1,"Energy, Mining & Utilities",Energy & Utilities,1965,$1 to $5 billion (USD),Biostatistician Data Scientist 1,"Richland, WA",80K,108K,"$92,955",/yr (Glassdoor est.)
Infoway solutions LLC,3.7,Human Resources & Staffing,Staffing & Subcontracting,,Unknown / Non-Applicable,Sr Data Scientist - Store Inventory,"Mooresville, NC",73K,116K,"$94,596",/yr (Employer est.)
Senior Care Partners PACE,3.4,Healthcare,Health Care Services & Hospitals,2008,$5 to $25 million (USD),Sr. Finance & Data Analyst,"Battle Creek, MI",71K,101K,"$84,654",/yr (Glassdoor est.)
University of Michigan,4.3,Education,Colleges & Universities,1817,$5 to $10 billion (USD),Senior Machine Learning Engineer (Remote Option),"Ann Arbor, MI",80K,108K,"$92,792",/yr (Glassdoor est.)
BluePath Labs,4.8,Government & Public Administration,National Agencies,2016,Unknown / Non-Applicable,"Data Scientist, Artificial Intelligence (AI), and Machine Learning (ML) Researcher - ONSITE","West Point, NY",75K,100K,"$87,500",/yr (Employer est.)
Unitil Service Corporation,4.1,"Energy, Mining & Utilities",Energy & Utilities,1984,Unknown / Non-Applicable,Sr. Pipeline Safety Data Analyst,"Portsmouth, NH",60K,92K,"$74,263",/yr (Glassdoor est.)
Voya Financial,3.8,Financial Services,Investment & Asset Management,2013,$5 to $10 billion (USD),AI Initiatives Analyst,"Hartford, CT",69K,96K,"$81,707",/yr (Glassdoor est.)
Triunity Software,4.9,Information Technology,Information Technology Support Services,2021,$1 to $5 million (USD),Applied ML and Gen AI BootCamp,"Princeton, NJ",70K,100K,"$85,000",/yr (Employer est.)
University of California Berkeley,4.4,,,,Unknown / Non-Applicable,"Events Manager (6292U) Job 65209 - College of Computing, Data Science, and Society (CDSS)","Berkeley, CA",70K,87K,"$78,450",/yr (Employer est.)
Cleveland Clinic,3.7,Healthcare,Health Care Services & Hospitals,1921,$1 to $5 billion (USD),Associate Data Scientist - PLMI Analytics,"Cleveland, OH",30.41,46.38,$38.40,/hr (Employer est.)
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968,$1 to $5 billion (USD),Data Scientist II,"Denver, CO",70K,117K,"$93,700",/yr (Employer est.)
Pinnacle Technical Resources,3.7,,,,$1 to $5 million (USD),AI Business Systems Analyst,Alaska,40.00,45.00,$42.50,/hr (Employer est.)
Capitaltechsolutions Inc,3.2,,,,Unknown / Non-Applicable,"5+ Years in Research/Data Analyst Senior- Atlanta, GA (Remote - onsite interview)","Atlanta, GA",45.00,50.00,$47.50,/hr (Employer est.)
Ally Financial,3.8,Financial Services,Banking & Lending,1919,$5 to $10 billion (USD),GRC Senior Business Data Analyst,"Charlotte, NC",79K,103K,"$90,398",/yr (Glassdoor est.)
FIS Global,3.7,Financial Services,Financial Transaction Processing,1968,$5 to $10 billion (USD),Data Governance Analyst Specialist - Retention,"Cincinnati, OH",71K,108K,"$87,806",/yr (Glassdoor est.)
Georgia Tech Research Institute,4.3,Education,Colleges & Universities,1885,$1 to $5 billion (USD),AI/ML Engineer - GTRI - CIPHER,"Atlanta, GA",75K,113K,"$92,290",/yr (Glassdoor est.)
Bureau Veritas,3.4,Management & Consulting,Business Consulting,1828,$5 to $10 billion (USD),"SENIOR DEVELOPER, BUSINESS DATA ANALYST (BVTA)",Remote,90K,90K,"$90,000",/yr (Employer est.)
Royce Geo,4.2,"Energy, Mining & Utilities",Mining & Metals,,Unknown / Non-Applicable,Data Scientist,"Springfield, VA",75K,112K,"$91,548",/yr (Glassdoor est.)
Carnegie Mellon University,4.4,Education,Colleges & Universities,1900,$1 to $5 billion (USD),Data Pipeline Engineer - School of Computer Science - MLD,"Pittsburgh, PA",76K,112K,"$92,075",/yr (Glassdoor est.)
The University of Pittsburgh,3.9,Education,Colleges & Universities,1787,Less than $1 million (USD),Data Scientist,"Pittsburgh, PA",66K,99K,"$81,020",/yr (Glassdoor est.)
FedEx Services,3.9,Transportation & Logistics,Taxi & Car Services,2000,$1 to $5 million (USD),Data Science Advisor - Marketing,"Plano, TX",69K,94K,"$80,385",/yr (Glassdoor est.)
TSPi,3.8,Nonprofit & NGO,Civic & Social Services,,Unknown / Non-Applicable,Full Stack Developer,United States,85K,95K,"$90,000",/yr (Employer est.)
Genworth,4.0,Insurance,Insurance Carriers,2004,$5 to $10 billion (USD),Data Scientist,"Richmond, VA",93K,93K,"$93,100",/yr (Employer est.)
Georgia Tech Research Institute,4.3,Education,Colleges & Universities,1885,$1 to $5 billion (USD),AI/ML Engineer - GTRI - CIPHER - Open Rank,"Atlanta, GA",54K,82K,"$66,692",/yr (Glassdoor est.)
Oceaneering,3.8,"Energy, Mining & Utilities",Energy & Utilities,1964,$1 to $5 billion (USD),Orion Navigation Data Scientist,"Clear Lake Shores, TX",75K,114K,"$92,620",/yr (Glassdoor est.)
First Horizon Bank,3.7,Financial Services,Banking & Lending,1864,$1 to $5 billion (USD),Senior Asset Liability Management Data Analyst,"Memphis, TN",72K,111K,"$89,391",/yr (Glassdoor est.)
Skyline tech solutions,4.7,,,,,AI Engineer,"San Francisco, CA",80K,90K,"$85,000",/yr (Employer est.)
Design Interactive,4.5,Information Technology,Software Development,1998,$5 to $25 million (USD),Data Scientist,"Orlando, FL",80K,100K,"$90,000",/yr (Employer est.)
GXO Logistics,3.4,Transportation & Logistics,Shipping & Trucking,2021,Unknown / Non-Applicable,"Senior Data Analyst, Warehouse Design - Remote","Atlanta, GA",55K,80K,"$66,313",/yr (Glassdoor est.)
University of Minnesota,4.2,Education,Colleges & Universities,1851,Unknown / Non-Applicable,R&D Data Science Project Manager,"Minneapolis, MN",70K,78K,"$74,000",/yr (Employer est.)
FocusKPI Inc.,3.2,Media & Communication,Advertising & Public Relations,,Less than $1 million (USD),Data Scientist,"Boston, MA",6K,8K,"$7,000",/mo (Employer est.)
IPRO,3.9,Healthcare,Health Care Services & Hospitals,1984,$25 to $100 million (USD),Sr. Data Analyst,"Lake Success, NY",75K,85K,"$80,000",/yr (Employer est.)
University Health,3.8,Healthcare,Health Care Services & Hospitals,1917,Unknown / Non-Applicable,Senior Quality Data Analyst,"San Antonio, TX",56K,81K,"$67,169",/yr (Glassdoor est.)
New Jersey Courts,3.8,Government & Public Administration,State & Regional Agencies,,Unknown / Non-Applicable,Statistical Analyst (Administrative Specialist 4),"Trenton, NJ",74K,109K,"$91,581",/yr (Employer est.)
FalconSmartIT,4.3,,,,Unknown / Non-Applicable,Generative AI Specialist,"Dover, DE",51K,92K,"$68,462",/yr (Glassdoor est.)
Mount Sinai,3.5,Healthcare,Health Care Services & Hospitals,2013,$1 to $5 billion (USD),Data Manager (Dr Trey Hedden's Lab) - Neurology,"New York, NY",66K,99K,"$82,356",/yr (Employer est.)
omega solutions inc,3.1,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Sr. Data Scientist,"Santa Ana, CA",73K,112K,"$90,413",/yr (Glassdoor est.)
