employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
721,3.8,11,47,2016.0,0,275,139000.0,178000.0,157194.0,2,1,0,0,0,0,1,0
150,4.7,10,45,2008.0,0,10,102000.0,138000.0,118715.0,3,1,0,0,0,0,1,0
297,4.2,24,77,1986.0,0,94,86000.0,120000.0,101597.0,3,1,0,0,0,0,1,0
189,4.3,13,64,1986.0,3,108,96000.0,132000.0,112735.0,3,1,0,0,0,0,1,0
738,2.0,24,77,1986.0,0,257,120000.0,120000.0,120000.0,0,0,1,0,0,0,1,0
312,4.0,10,45,1999.0,2,313,120000.0,135000.0,127500.0,2,0,1,0,0,0,1,0
820,4.1,10,45,1986.0,0,313,192000.0,230400.0,211200.0,3,0,1,0,0,0,1,0
108,4.0,14,51,1860.0,7,313,97000.0,146000.0,121320.0,2,0,1,0,0,0,1,0
290,4.3,13,64,2007.0,0,268,166000.0,217000.0,189828.0,3,1,0,0,0,0,1,0
1040,3.9,3,16,1787.0,1,288,66000.0,99000.0,81020.0,2,1,0,0,0,0,1,0
1180,4.0,24,77,1986.0,0,283,76800.0,82560.0,79680.0,2,0,1,0,0,0,1,0
267,3.3,11,47,1922.0,6,171,115000.0,151000.0,132103.0,2,1,0,0,0,0,1,0
744,3.7,7,41,2012.0,0,73,93000.0,131000.0,110585.0,2,1,0,0,0,0,1,0
47,3.5,10,48,2015.0,0,332,120000.0,150000.0,135000.0,2,0,1,0,0,0,1,0
942,2.9,10,45,1986.0,0,195,78000.0,119000.0,96534.0,1,1,0,0,0,0,1,0
721,3.8,11,47,2016.0,0,275,136000.0,168000.0,151056.0,2,1,0,0,0,0,1,0
482,4.1,10,18,1939.0,0,359,84000.0,126000.0,102849.0,3,1,0,0,0,0,1,0
1026,3.8,13,12,1984.0,3,322,89000.0,129000.0,107008.0,2,1,0,0,0,0,1,0
759,3.7,10,68,2000.0,3,78,89000.0,145000.0,113783.0,2,1,0,0,0,0,1,0
993,4.0,10,45,2006.0,3,263,119884.8,119884.8,119884.8,2,0,1,0,0,0,1,0
556,4.7,10,30,2008.0,4,13,89000.0,121000.0,103589.0,3,1,0,0,0,0,1,0
755,5.0,10,45,1986.0,0,372,91000.0,132000.0,109535.0,3,1,0,0,0,0,1,0
952,4.4,9,70,2012.0,3,313,115200.0,134400.0,124800.0,3,0,1,0,0,0,1,0
96,3.7,14,21,2010.0,3,147,110000.0,132000.0,121000.0,2,0,1,0,0,0,1,0
710,3.9,10,48,2010.0,0,200,130000.0,170000.0,150000.0,2,0,1,0,0,0,1,0
50,3.7,24,77,1986.0,0,10,165000.0,165000.0,165000.0,2,0,1,0,0,0,1,0
770,3.7,10,30,1991.0,5,340,120000.0,160000.0,140000.0,2,0,1,0,0,0,1,0
512,4.2,24,77,1986.0,0,160,100000.0,125000.0,112500.0,3,0,1,0,0,0,1,0
497,4.0,10,48,2017.0,0,104,93000.0,134000.0,111705.0,2,1,0,0,0,0,1,0
371,4.1,15,80,1991.0,0,62,130000.0,179000.0,152469.0,3,1,0,0,0,0,1,0
1056,3.3,5,6,2019.0,8,68,88000.0,122000.0,103550.0,2,1,0,0,0,0,1,0
854,3.5,7,43,2022.0,0,68,94000.0,120000.0,107200.0,2,0,1,0,0,0,1,0
676,3.9,10,48,2004.0,9,253,109000.0,171000.0,140000.0,2,0,1,0,0,0,1,0
785,3.7,10,48,2009.0,0,253,110000.0,135000.0,122500.0,2,0,1,0,0,0,1,0
389,3.5,10,48,1996.0,7,253,128000.0,252000.0,190000.0,2,0,1,0,0,0,1,0
18,4.6,10,18,1969.0,3,313,115200.0,124800.0,120000.0,3,0,1,0,0,0,1,0
1175,4.1,10,48,2006.0,5,253,110000.0,195000.0,152375.0,3,0,1,0,0,0,1,0
826,4.6,10,45,2009.0,4,395,121000.0,161000.0,139568.0,3,1,0,0,0,0,1,0
27,5.0,10,45,1986.0,0,361,81000.0,118000.0,97529.0,3,1,0,0,0,0,1,0
549,4.1,10,30,1992.0,0,84,75000.0,113000.0,92424.0,3,1,0,0,0,0,1,0
1123,4.2,10,45,2010.0,0,168,76000.0,109000.0,91384.0,3,1,0,0,0,0,1,0
212,4.0,21,20,1889.0,0,97,98000.0,129000.0,112454.0,2,1,0,0,0,0,1,0
218,4.2,24,77,1986.0,0,13,89000.0,135000.0,109582.0,3,1,0,0,0,0,1,0
1155,3.6,10,18,1970.0,9,229,139000.0,172000.0,154642.0,2,1,0,0,0,0,1,0
1157,3.3,23,3,2013.0,5,385,170000.0,170000.0,170000.0,2,0,1,0,0,0,1,0
544,4.0,6,56,1986.0,0,218,113000.0,154000.0,131751.0,2,1,0,0,0,0,1,0
873,3.7,24,77,1986.0,0,313,124800.0,134400.0,129600.0,2,0,1,0,1,0,0,0
1034,5.0,24,77,1986.0,1,218,107000.0,147000.0,125279.0,3,1,0,0,0,0,1,0
186,3.1,21,25,1972.0,8,106,95000.0,125000.0,110000.0,2,0,1,0,0,0,1,0
989,3.7,22,74,2001.0,9,29,112000.0,152000.0,132000.0,2,0,1,0,0,0,1,0
852,4.0,10,45,1986.0,0,165,88000.0,130000.0,106755.0,2,1,0,0,0,0,1,0
721,3.8,11,47,2016.0,0,275,128000.0,175000.0,149823.0,2,1,0,0,0,0,1,0
620,4.1,11,46,1966.0,7,94,107000.0,142000.0,123627.0,3,1,0,0,0,0,1,0
579,3.8,14,33,1906.0,8,21,93000.0,130000.0,109639.0,2,1,0,0,0,0,1,0
39,3.6,10,48,2014.0,8,332,130000.0,182000.0,153564.0,2,1,0,0,0,0,1,0
542,4.9,10,45,2011.0,2,385,105600.0,115200.0,110400.0,3,0,1,0,0,0,1,0
