employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician,average_base_salary
1132,3.9,24,77,1986.0,0,385,110000.0,135000.0,2,0,1,0,0,0,1,0,122500.0
83,3.6,10,45,2009.0,3,385,115000.0,124000.0,2,0,1,0,0,0,1,0,119500.0
797,3.6,10,45,2017.0,8,0,86000.0,138000.0,2,0,1,0,0,0,1,0,112000.0
1106,4.2,3,16,1861.0,7,345,100000.0,135000.0,3,0,1,0,0,0,1,0,117251.0
673,4.1,18,8,1908.0,0,307,85000.0,121000.0,3,1,0,0,1,0,0,0,101602.0
639,4.3,0,2,1968.0,7,99,108000.0,180000.0,3,0,1,0,0,0,1,0,144250.0
755,5.0,10,45,1986.0,0,372,91000.0,132000.0,3,1,0,0,0,0,1,0,109592.0
286,3.7,10,45,1979.0,6,313,93000.0,109000.0,2,0,1,0,0,0,1,0,101000.0
915,4.4,10,30,2004.0,7,253,159000.0,278000.0,3,0,1,0,0,1,0,0,218000.0
564,3.6,7,41,1824.0,7,285,63000.0,92000.0,2,1,0,0,0,0,0,1,76045.0
778,4.0,4,29,1903.0,8,152,75000.0,119000.0,2,0,1,0,0,0,1,0,96850.0
999,3.8,16,15,1986.0,0,385,85000.0,95000.0,2,0,1,0,0,0,1,0,90000.0
164,4.3,13,12,2013.0,0,313,105000.0,120000.0,3,0,1,0,0,0,1,0,112500.0
536,4.1,10,30,2015.0,0,253,185000.0,220000.0,3,0,1,0,0,0,1,0,202500.0
498,4.1,10,45,1911.0,9,66,156000.0,234000.0,3,0,1,0,0,0,1,0,195000.0
68,3.7,10,48,1994.0,9,253,123000.0,123000.0,2,0,1,0,0,0,1,0,122900.0
955,4.0,15,61,2015.0,0,200,65000.0,94000.0,2,0,1,0,0,0,1,0,79050.0
1016,4.0,10,48,1998.0,0,275,72000.0,144000.0,2,0,1,0,0,0,1,0,108230.0
391,3.9,6,56,1908.0,0,75,75000.0,117000.0,2,1,0,0,0,0,1,0,93234.0
538,3.3,10,45,2014.0,0,313,75000.0,120000.0,2,0,1,0,0,0,1,0,97500.0
869,4.0,18,8,1986.0,2,311,175000.0,210000.0,2,0,1,0,0,0,0,1,192500.0
573,4.2,18,8,1887.0,9,308,95000.0,95000.0,3,0,1,0,0,0,1,0,95000.0
434,4.3,3,16,1885.0,7,15,46000.0,74000.0,3,1,0,1,0,0,0,0,58747.0
264,3.4,14,28,1947.0,5,299,81000.0,118000.0,2,1,0,0,0,0,1,0,97442.0
699,4.6,10,18,1993.0,8,340,144000.0,270000.0,3,0,1,1,0,0,0,0,207125.0
711,4.2,10,48,1997.0,8,201,156000.0,231000.0,3,1,0,0,0,0,1,0,190060.0
562,3.9,12,50,1958.0,5,158,80000.0,116000.0,2,1,0,0,0,0,1,0,96696.0
169,4.2,13,12,1914.0,8,260,45000.0,93000.0,3,0,1,0,0,1,0,0,69150.0
1205,3.9,10,48,1986.0,0,273,160000.0,200000.0,2,0,1,1,0,0,0,0,180000.0
539,3.6,24,77,1986.0,0,385,75000.0,120000.0,2,0,1,0,0,0,1,0,97500.0
296,3.6,7,41,1964.0,5,89,73000.0,104000.0,2,1,0,0,1,0,0,0,87339.0
1048,3.4,10,48,2016.0,0,333,145000.0,238000.0,2,0,1,1,0,0,0,0,191250.0
925,3.5,21,57,1910.0,8,85,99000.0,150000.0,2,1,0,0,0,0,1,0,121981.0
98,4.2,10,18,1976.0,9,93,200000.0,300000.0,3,0,1,0,0,0,1,0,250000.0
535,3.4,20,65,2018.0,0,15,88000.0,121000.0,2,1,0,0,0,0,1,0,102819.0
855,4.1,11,47,1977.0,7,253,79000.0,112000.0,3,0,1,0,0,0,1,0,95550.0
615,4.1,18,8,1876.0,9,165,103000.0,128000.0,3,1,0,0,0,0,1,0,114959.0
169,4.2,13,12,1914.0,8,385,93000.0,212000.0,3,0,1,0,0,0,1,0,152650.0
901,3.7,4,29,1934.0,7,235,82000.0,118000.0,2,1,0,0,0,0,1,0,98749.0
1136,3.1,7,41,2001.0,7,346,79000.0,107000.0,2,1,0,0,0,0,1,0,92025.0
95,3.7,14,21,2010.0,3,147,110000.0,132000.0,2,0,1,0,0,0,1,0,121000.0
35,4.1,10,18,1969.0,9,340,152000.0,231000.0,3,1,0,1,0,0,0,0,187464.0
836,4.0,5,49,1937.0,5,41,97000.0,122000.0,2,1,0,0,0,0,1,0,108677.0
1138,3.8,5,49,2013.0,8,144,69000.0,96000.0,2,1,0,0,1,0,0,0,81707.0
70,3.8,10,48,2006.0,9,99,115000.0,115000.0,2,0,1,0,0,0,1,0,115000.0
1155,3.6,10,18,1970.0,9,229,139000.0,172000.0,2,1,0,0,0,0,1,0,154642.0
1053,4.7,24,77,1986.0,0,316,100000.0,250000.0,3,0,1,0,0,0,1,0,175000.0
426,3.9,10,45,1996.0,9,164,156000.0,234000.0,2,0,1,0,0,0,1,0,195000.0
664,3.7,7,41,1833.0,9,167,106000.0,177000.0,2,0,1,0,0,0,1,0,141900.0
512,4.2,24,77,1986.0,0,160,100000.0,125000.0,3,0,1,0,0,0,1,0,112500.0
324,3.4,10,18,1998.0,7,18,79000.0,114000.0,2,1,0,0,1,0,0,0,95019.0
